Player,date,Line 1,Line 2,Line 3,Line 4
val1,1/1/00,11.361,40.863,106.118,33.896
val1,1/1/01,9.552,39.713,123.521,32.408
val1,1/1/02,8.576,38.091,137.61,33.204
val1,1/1/03,7.549,35.853,140.896,34.865
val1,1/1/04,6.716,32.109,156.805,36.044
val1,1/1/05,6.312,30.235,164.498,36.149
val1,1/1/06,5.76,27.934,161.806,36.039
val1,1/1/07,5.181,25.183,164.546,35.703
val1,1/1/08,4.922,28.642,180.783,40.183
val1,1/1/09,8.195,35.716,183.53,53.573
val1,1/1/10,10.966,36.073,183.53,61.274
val2,5/1/08,73.17096,73.8,70.86987,71.22524
val2,6/1/08,73.40022,73.6,70.85164,71.10571
val2,7/1/08,73.18956,73.5,70.68008,70.892
val2,8/1/08,73.27032,73.5,70.78835,70.70468
val2,9/1/08,73.1027,73.6,70.80603,70.50166
val2,10/1/08,73.19533,73.5,70.84274,70.36867
val2,11/1/08,72.95339,73.3,70.95702,69.93706
val2,12/1/08,72.81297,73,70.65752,69.56481
val2,1/1/09,72.46693,72.5,70.73147,69.04002
val2,2/1/09,72.51446,72,70.46809,68.75864
val2,3/1/09,72.12102,71.8,70.0565,68.25459
val2,4/1/09,72.31942,71.7,70.01981,68.15527
val2,5/1/09,72.07051,71.5,69.86392,67.79279
val2,6/1/09,71.83347,71.2,69.81618,67.80988
val2,7/1/09,71.84483,71.1,69.76656,67.67518
val2,8/1/09,71.69344,71.1,70.02958,67.29216
val2,9/1/09,71.75568,71.2,70.03351,66.8834
val2,10/1/09,71.76352,71,69.97632,66.61176
val2,11/1/09,71.9547,71.4,69.91604,66.69512
val2,12/1/09,72.00006,71.2,69.9911,66.46241
val2,1/1/10,72.16405,71.3,70.14699,66.76878
val2,2/1/10,72.07063,71.4,70.10736,66.74509
val2,3/1/10,72.01749,71.3,70.07778,66.75923
val2,4/1/10,72.11574,71.6,69.92162,66.86999
val2,5/1/10,71.99252,71.6,69.92286,66.76907
val2,6/1/10,72.27586,71.7,69.87484,66.7173
val2,7/1/10,72.30006,71.7,70.19234,66.6966
val2,8/1/10,72.48346,71.7,70.23014,66.73079
val2,9/1/10,72.63282,71.4,70.37191,66.64181
val2,10/1/10,72.69502,71.6,70.26771,66.44191
val2,11/1/10,72.846,71.7,70.16416,66.39793
val2,12/1/10,72.98971,71.8,70.31656,66.51099
